CMPD_CHEMBLID	SMILES	PCHEMBL_VALUE
CHEMBL3672031	CC(C)c1nc2nc(c3ccc(CN4CCC(CC4)c5cnc6ccccc6n5)cc3)c(cn2n1)c7ccccc7	6.29
CHEMBL362016	CC(C)Cc1nc(c2ccc(CN3CCC(CC3)n4c(O)nc5ccccc45)cc2)c(nc1O)c6ccccc6	4.75
CHEMBL178468	CC(C)Cc1nc(c2ccccc2)c(nc1O)c3ccc(CN4CCC(CC4)n5c(O)nc6ccccc56)cc3	6.49
CHEMBL2177365	CC(C)N(C)C[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)cc4	7.51
CHEMBL3699729	CC(C)NC(=O)c1ccc2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	6.55
CHEMBL2177382	CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@@H](F)C[C@@H](C)c23)c4ccc(Cl)cc4	7.46
CHEMBL2177380	CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@@H](O)C[C@@H](C)c23)c4ccc(Cl)cc4	6.6
CHEMBL2177381	CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](F)C[C@@H](C)c23)c4ccc(Cl)cc4	7.85
CHEMBL2177372	CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)c(F)c4	7.77
CHEMBL2177390	CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)cc4	7.75
CHEMBL2177383	CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3c2[C@H](C)CC3(F)F)c4ccc(Cl)cc4	5.38
CHEMBL2177385	CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3CC[C@@H](C)c23)c4ccc(Cl)cc4	7.92
CHEMBL2177387	CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3CC[C@@H](C=C)c23)c4ccc(Cl)cc4	8.22
CHEMBL2177388	CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3CC[C@@H](CF)c23)c4ccc(Cl)cc4	8.22
CHEMBL2177389	CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3CC[C@@H](CO)c23)c4ccc(Cl)cc4	6.45
CHEMBL3672078	CC(C)Nc1c(c2ccccc2)c(nc3nc(C)cn13)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7cccc(C)n7)cc4	7.44
CHEMBL3672077	CC(C)Nc1c(c2ccccc2)c(nc3nc(C)cn13)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7ccccn7)cc4	7.41
CHEMBL3672049	CC(C)Nc1c(c2ccccc2)c(nc3nc(C)nn13)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7ccccn7)cc4	7.7
CHEMBL3672082	CC(C)Nc1c(c2ccccc2)c(nc3nc(nn13)c4ccccn4)c5ccc(CN6CC(C6)c7n[nH]c(n7)c8cccc(C)n8)cc5	7.8
CHEMBL3672081	CC(C)Nc1c(c2ccccc2)c(nc3nc(nn13)c4ccccn4)c5ccc(CN6CC(C6)c7n[nH]c(n7)c8ccccn8)cc5	7.06
CHEMBL3672079	CC(C)Nc1c(c2ccccc2)c(nc3nccn13)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7ccccn7)cc4	7.28
CHEMBL3672044	CC(C)Nc1nc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn2n1)c7ccccc7	7.96
CHEMBL3699707	CC(C)Oc1ccn2c(c3ccccc3)c(nc2n1)c4ccc(cc4)C5(N)CCC5	6.86
CHEMBL2325990	CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(cc4)S(=O)(=O)C	6.09
